Well name,Group Answer,Date,Ground Elevation(masl),Datum Elevation(masl),Surveyed Stickup(m),Total Depth of Piezometer(mbgs),Bottom of Piezometer Elevation(masl),Depth Interval of Screen(mbgs),Elevation Interval of Screen(masl),Depth Interval of Sand(mbgs),Elevation Interval of Sand(masl),Time(hh:mm),Observed Depth to Groundwater(mbtoc),Observed Depth to Groundwater(mbgs),Depth to Product(mbtoc),Observed Product Thickness(m),Corrected Product Thickness(m),Corrected Depth to Groundwater(mbtoc),Corrected Depth to Groundwater(mbgs),Observed Groundwater Surface Elevation(masl),Corrected Groundwater Surface Elevation(masl),Depth to Bottom of Well(mbtoc),Measured Stick up(m),Easting(m),Northing(m)
35401,Shallow,17-Oct-17,950.82,951.46,0.64,6,944.82,3.00 - 6.00,947.82 - 944.82,N/A,N/A,12:18,1.48,0.84,,N/A,N/A,1.48,0.84,949.98,949.98,N/M,N/M,645466.248,5867809.039
35401,Shallow,14-May-18,950.82,951.46,0.64,6,944.82,3.00 - 6.00,947.82 - 944.82,N/A,N/A,14:35,2.31,1.67,,N/A,N/A,2.31,1.67,949.15,949.15,8.03,N/M,645466.248,5867809.039
35401,Shallow,10-Oct-18,950.82,951.46,0.64,6,944.82,3.00 - 6.00,947.82 - 944.82,N/A,N/A,9:49,2.73,2.09,,N/A,N/A,2.73,2.09,948.73,948.73,N/M,N/M,645466.248,5867809.039
97-21,Shallow,07-Jun-16,951.14,951.99,0.85,8,943.14,4.00 - 8.00,947.14 - 943.14,N/A,N/A,10:25,4.8,3.95,,N/A,N/A,4.8,3.95,947.19,947.19,8.21,N/M,645608.63,5867740.071
97-21,Shallow,18-Oct-16,951.14,951.99,0.85,8,943.14,4.00 - 8.00,947.14 - 943.14,N/A,N/A,12:20,3.37,2.52,,N/A,N/A,3.37,2.52,948.62,948.62,N/M,N/M,645608.63,5867740.071
97-21,Shallow,30-May-17,951.14,951.99,0.85,8,943.14,4.00 - 8.00,947.14 - 943.14,N/A,N/A,14:35,3.54,2.69,,N/A,N/A,3.54,2.69,948.45,948.45,N/M,N/M,645608.63,5867740.071
97-21,Shallow,18-Oct-17,951.14,951.99,0.85,8,943.14,4.00 - 8.00,947.14 - 943.14,N/A,N/A,12:50,3.19,2.34,,N/A,N/A,3.19,2.34,948.8,948.8,8.2,N/M,645608.63,5867740.071
97-21,Shallow,15-May-18,951.14,951.99,0.85,8,943.14,4.00 - 8.00,947.14 - 943.14,N/A,N/A,16:35,4.85,4,,N/A,N/A,4.85,4,947.14,947.14,N/M,N/M,645608.63,5867740.071
97-21,Shallow,10-Oct-18,951.14,951.99,0.85,8,943.14,4.00 - 8.00,947.14 - 943.14,N/A,N/A,15:15,4.22,3.37,,N/A,N/A,4.22,3.37,947.77,947.77,8.23,N/M,645608.63,5867740.071
06-62,Shallow,07-Jun-16,951.94,952.89,0.95,5.5,946.44,2.50 - 5.50,949.44 - 946.44,N/A,N/A,9:50,4.27,3.32,,N/A,N/A,4.27,3.32,948.62,948.62,6.34,N/M,645576.383,5867793.074
06-62,Shallow,18-Oct-16,951.94,952.89,0.95,5.5,946.44,2.50 - 5.50,949.44 - 946.44,N/A,N/A,11:55,2.15,1.2,,N/A,N/A,2.15,1.2,950.74,950.74,N/M,N/M,645576.383,5867793.074
06-62,Shallow,30-May-17,951.94,952.89,0.95,5.5,946.44,2.50 - 5.50,949.44 - 946.44,N/A,N/A,15:45,3.36,2.41,,N/A,N/A,3.36,2.41,949.53,949.53,N/M,N/M,645576.383,5867793.074
06-62,Shallow,18-Oct-17,951.94,952.89,0.95,5.5,946.44,2.50 - 5.50,949.44 - 946.44,N/A,N/A,13:05,2.31,1.36,,N/A,N/A,2.31,1.36,950.58,950.58,6.36,N/M,645576.383,5867793.074
06-62,Shallow,15-May-18,951.94,952.89,0.95,5.5,946.44,2.50 - 5.50,949.44 - 946.44,N/A,N/A,17:25,4.87,3.92,,N/A,N/A,4.87,3.92,948.02,948.02,N/M,N/M,645576.383,5867793.074
06-62,Shallow,10-Oct-18,951.94,952.89,0.95,5.5,946.44,2.50 - 5.50,949.44 - 946.44,N/A,N/A,16:25,3.61,2.66,,N/A,N/A,3.61,2.66,949.28,949.28,6.36,N/M,645576.383,5867793.074
06-63,Shallow,07-Jun-16,951.86,952.56,0.7,5.2,946.66,2.20 - 5.20,949.66 - 946.66,N/A,N/A,11:55,3.94,3.24,,N/A,N/A,3.94,3.24,948.62,948.62,5.97,N/M,645638.926,5867751.212
06-63,Shallow,18-Oct-16,951.86,952.56,0.7,5.2,946.66,2.20 - 5.20,949.66 - 946.66,N/A,N/A,12:10,3.26,2.56,,N/A,N/A,3.26,2.56,949.3,949.3,N/M,N/M,645638.926,5867751.212
06-63,Shallow,30-May-17,951.86,952.56,0.7,5.2,946.66,2.20 - 5.20,949.66 - 946.66,N/A,N/A,14:40,3.22,2.52,,N/A,N/A,3.22,2.52,949.34,949.34,N/M,N/M,645638.926,5867751.212
06-63,Shallow,18-Oct-17,951.86,952.56,0.7,5.2,946.66,2.20 - 5.20,949.66 - 946.66,N/A,N/A,12:45,2.8,2.1,,N/A,N/A,2.8,2.1,949.76,949.76,5.89,N/M,645638.926,5867751.212
06-63,Shallow,15-May-18,951.86,952.56,0.7,5.2,946.66,2.20 - 5.20,949.66 - 946.66,N/A,N/A,16:40,3.99,3.29,,N/A,N/A,3.99,3.29,948.57,948.57,N/M,N/M,645638.926,5867751.212
06-63,Shallow,10-Oct-18,951.86,952.56,0.7,5.2,946.66,2.20 - 5.20,949.66 - 946.66,N/A,N/A,15:30,3.39,2.69,,N/A,N/A,3.39,2.69,949.17,949.17,5.92,N/M,645638.926,5867751.212
10-67,Shallow,07-Jun-16,951.13,951.87,0.74,8.3,942.83,5.30 - 8.30,945.83 - 942.83,N/A,N/A,10:20,5.16,4.42,,N/A,N/A,5.16,4.42,946.71,946.71,9.16,N/M,645586.902,5867741.947
10-67,Shallow,18-Oct-16,951.13,951.87,0.74,8.3,942.83,5.30 - 8.30,945.83 - 942.83,N/A,N/A,12:55,3.32,2.58,,N/A,N/A,3.32,2.58,948.55,948.55,N/M,N/M,645586.902,5867741.947
10-67,Shallow,30-May-17,951.13,951.87,0.74,8.3,942.83,5.30 - 8.30,945.83 - 942.83,N/A,N/A,14:25,3.79,3.05,,N/A,N/A,3.79,3.05,948.08,948.08,N/M,N/M,645586.902,5867741.947
10-67,Shallow,18-Oct-17,951.13,951.87,0.74,8.3,942.83,5.30 - 8.30,945.83 - 942.83,N/A,N/A,13:05,3.31,2.57,,N/A,N/A,3.31,2.57,948.56,948.56,9.15,N/M,645586.902,5867741.947
10-67,Shallow,15-May-18,951.13,951.87,0.74,8.3,942.83,5.30 - 8.30,945.83 - 942.83,N/A,N/A,16:25,5.27,4.53,,N/A,N/A,5.27,4.53,946.6,946.6,N/M,N/M,645586.902,5867741.947
10-67,Shallow,10-Oct-18,951.13,951.87,0.74,8.3,942.83,5.30 - 8.30,945.83 - 942.83,N/A,N/A,15:00,4.53,3.79,,N/A,N/A,4.53,3.79,947.34,947.34,9.14,N/M,645586.902,5867741.947
PIEZO B,Shallow,07-Jun-16,952.15,952.89,0.74,3.6,948.55,0.00 - 3.60,952.15 - 948.55,N/A,N/A,11:40,2.97,2.23,,N/A,N/A,2.97,2.23,949.92,949.92,3.55,N/M,645635.285,5867806.955
PIEZO B,Shallow,18-Oct-16,952.15,952.89,0.74,3.6,948.55,0.00 - 3.60,952.15 - 948.55,N/A,N/A,10:15,1.72,0.98,,N/A,N/A,1.72,0.98,951.17,951.17,N/M,N/M,645635.285,5867806.955
PIEZO B,Shallow,30-May-17,952.15,952.89,0.74,3.6,948.55,0.00 - 3.60,952.15 - 948.55,N/A,N/A,15:55,2.45,1.71,,N/A,N/A,2.45,1.71,950.44,950.44,N/M,N/M,645635.285,5867806.955
PIEZO B,Shallow,18-Oct-17,952.15,952.89,0.74,3.6,948.55,0.00 - 3.60,952.15 - 948.55,N/A,N/A,13:50,2.26,1.52,,N/A,N/A,2.26,1.52,950.63,950.63,3.52,N/M,645635.285,5867806.955
PIEZO B,Shallow,15-May-18,952.15,952.89,0.74,3.6,948.55,0.00 - 3.60,952.15 - 948.55,N/A,N/A,17:30,3.43,2.69,,N/A,N/A,3.43,2.69,949.46,949.46,3.53,N/M,645635.285,5867806.955
PIEZO B,Shallow,10-Oct-18,952.15,952.89,0.74,3.6,948.55,0.00 - 3.60,952.15 - 948.55,N/A,N/A,16:30,3.05,2.31,,N/A,N/A,3.05,2.31,949.84,949.84,N/M,N/M,645635.285,5867806.955
TH12,Shallow,07-Jun-16,952.07,952.53,0.46,4.91,947.16,4.21 - 4.91,947.86 - 947.16,N/A,N/A,11:45,3.52,3.06,,N/A,N/A,3.52,3.06,949.01,949.01,4.18,N/M,645636.573,5867775.128
TH12,Shallow,18-Oct-16,952.07,952.53,0.46,4.91,947.16,4.21 - 4.91,947.86 - 947.16,N/A,N/A,13:00,2.86,2.4,,N/A,N/A,2.86,2.4,949.67,949.67,N/M,N/M,645636.573,5867775.128
TH12,Shallow,30-May-17,952.07,952.53,0.46,4.91,947.16,4.21 - 4.91,947.86 - 947.16,N/A,N/A,15:55,3.2,2.74,,N/A,N/A,3.2,2.74,949.33,949.33,N/M,N/M,645636.573,5867775.128
TH12,Shallow,18-Oct-17,952.07,952.53,0.46,4.91,947.16,4.21 - 4.91,947.86 - 947.16,N/A,N/A,13:40,2.66,2.2,,N/A,N/A,2.66,2.2,949.87,949.87,4.16,N/M,645636.573,5867775.128
TH12,Shallow,15-May-18,952.07,952.53,0.46,4.91,947.16,4.21 - 4.91,947.86 - 947.16,N/A,N/A,16:50,3.64,3.18,,N/A,N/A,3.64,3.18,948.89,948.89,N/M,N/M,645636.573,5867775.128
TH12,Shallow,10-Oct-18,952.07,952.53,0.46,4.91,947.16,4.21 - 4.91,947.86 - 947.16,N/A,N/A,15:45,3.36,2.9,,N/A,N/A,3.36,2.9,949.17,949.17,4.18,N/M,645636.573,5867775.128
35309,Shallow,07-Jun-16,950.03,950.53,0.5,6,944.03,3.00 - 6.00,947.03 - 944.03,N/A,N/A,13:45,2.48,1.98,2.45,0.03,0.024,2.456,1.956,948.05,948.074,8.19,N/M,645621.368,5867630.473
35309,Shallow,18-Oct-16,950.03,950.53,0.5,6,944.03,3.00 - 6.00,947.03 - 944.03,N/A,N/A,14:30,1.395,0.895,1.365,0.03,0.024,1.371,0.871,949.135,949.159,N/M,N/M,645621.368,5867630.473
35309,Shallow,30-May-17,950.03,950.53,0.5,6,944.03,3.00 - 6.00,947.03 - 944.03,N/A,N/A,11:20,1.194,0.694,1.19,0.004,0.003,1.191,0.691,949.336,949.339,N/M,N/M,645621.368,5867630.473
35309,Shallow,17-Oct-17,950.03,950.53,0.5,6,944.03,3.00 - 6.00,947.03 - 944.03,N/A,N/A,14:15,1.54,1.04,,N/A,N/A,1.54,1.04,948.99,948.99,8.18,N/M,645621.368,5867630.473
35309,Shallow,15-May-18,950.03,950.53,0.5,6,944.03,3.00 - 6.00,947.03 - 944.03,N/A,N/A,14:30,2.82,2.32,2.816,0.004,0.003,2.817,2.317,947.71,947.713,N/M,N/M,645621.368,5867630.473
35309,Shallow,10-Oct-18,950.03,950.53,0.5,6,944.03,3.00 - 6.00,947.03 - 944.03,N/A,N/A,13:25,2.203,1.703,2.2,0.003,0.002,2.201,1.701,948.327,948.329,N/M,N/M,645621.368,5867630.473
35371,Shallow,07-Jun-16,947.56,948.09,0.53,12,935.56,6.00 - 12.00,941.56 - 935.56,N/A,N/A,12:45,2.44,1.91,,N/A,N/A,2.44,1.91,945.65,945.65,12.57,N/M,645510.069,5867690.97
35371,Shallow,18-Oct-16,947.56,948.09,0.53,12,935.56,6.00 - 12.00,941.56 - 935.56,N/A,N/A,13:45,1.65,1.12,,N/A,N/A,1.65,1.12,946.44,946.44,N/M,N/M,645510.069,5867690.97
35371,Shallow,30-May-17,947.56,948.09,0.53,12,935.56,6.00 - 12.00,941.56 - 935.56,N/A,N/A,14:10,2.41,1.88,,N/A,N/A,2.41,1.88,945.68,945.68,N/M,N/M,645510.069,5867690.97
35371,Shallow,17-Oct-17,947.56,948.09,0.53,12,935.56,6.00 - 12.00,941.56 - 935.56,N/A,N/A,13:07,1.59,1.06,,N/A,N/A,1.59,1.06,946.5,946.5,N/M,N/M,645510.069,5867690.97
35371,Shallow,14-May-18,947.56,948.09,0.53,12,935.56,6.00 - 12.00,941.56 - 935.56,N/A,N/A,14:15,2.93,2.4,,N/A,N/A,2.93,2.4,945.16,945.16,12.6,N/M,645510.069,5867690.97
35371,Shallow,10-Oct-18,947.56,948.09,0.53,12,935.56,6.00 - 12.00,941.56 - 935.56,N/A,N/A,9:33,1.87,1.34,,N/A,N/A,1.87,1.34,946.22,946.22,N/M,N/M,645510.069,5867690.97
97-20,Shallow,07-Jun-16,950.65,950.95,0.3,6,944.65,3.00 - 6.00,947.65 - 944.65,N/A,N/A,13:55,2.95,2.65,2.9,0.05,0.04,2.91,2.61,948,948.04,5.22,N/M,645660.727,5867634.825
97-20,Shallow,18-Oct-16,950.65,950.95,0.3,6,944.65,3.00 - 6.00,947.65 - 944.65,N/A,N/A,14:30,1.49,1.19,,N/A,N/A,1.49,1.19,949.46,949.46,N/M,N/M,645660.727,5867634.825
97-20,Shallow,30-May-17,950.65,950.95,0.3,6,944.65,3.00 - 6.00,947.65 - 944.65,N/A,N/A,11:35,1.39,1.09,1.389,0.001,0.001,1.389,1.089,949.56,949.561,N/M,N/M,645660.727,5867634.825
97-20,Shallow,17-Oct-17,950.65,950.95,0.3,6,944.65,3.00 - 6.00,947.65 - 944.65,N/A,N/A,14:35,1.76,1.46,,N/A,N/A,1.76,1.46,949.19,949.19,5.26,N/M,645660.727,5867634.825
97-20,Shallow,15-May-18,950.65,950.95,0.3,6,944.65,3.00 - 6.00,947.65 - 944.65,N/A,N/A,14:40,3.25,2.95,,N/A,N/A,3.25,2.95,947.7,947.7,N/M,N/M,645660.727,5867634.825
97-20,Shallow,10-Oct-18,950.65,950.95,0.3,6,944.65,3.00 - 6.00,947.65 - 944.65,N/A,N/A,13:38,2.593,2.293,2.59,0.003,0.002,2.591,2.291,948.357,948.359,N/M,N/M,645660.727,5867634.825
01-22-2,Shallow,07-Jun-16,949.82,950.53,0.71,7.5,942.32,4.50 - 7.50,945.32 - 942.32,N/A,N/A,10:10,2.69,1.98,,N/A,N/A,2.69,1.98,947.84,947.84,8.15,N/M,645569.437,5867711.15
01-22-2,Shallow,18-Oct-16,949.82,950.53,0.71,7.5,942.32,4.50 - 7.50,945.32 - 942.32,N/A,N/A,12:50,2.23,1.52,,N/A,N/A,2.23,1.52,948.3,948.3,N/M,N/M,645569.437,5867711.15
01-22-2,Shallow,30-May-17,949.82,950.53,0.71,7.5,942.32,4.50 - 7.50,945.32 - 942.32,N/A,N/A,13:55,2.1,1.39,,N/A,N/A,2.1,1.39,948.43,948.43,N/M,N/M,645569.437,5867711.15
01-22-2,Shallow,17-Oct-17,949.82,950.53,0.71,7.5,942.32,4.50 - 7.50,945.32 - 942.32,N/A,N/A,13:20,1.77,1.06,,N/A,N/A,1.77,1.06,948.76,948.76,N/M,N/M,645569.437,5867711.15
01-22-2,Shallow,15-May-18,949.82,950.53,0.71,7.5,942.32,4.50 - 7.50,945.32 - 942.32,N/A,N/A,16:05,2.15,1.44,,N/A,N/A,2.15,1.44,948.38,948.38,8.15,N/M,645569.437,5867711.15
01-22-2,Shallow,10-Oct-18,949.82,950.53,0.71,7.5,942.32,4.50 - 7.50,945.32 - 942.32,N/A,N/A,14:57,1.62,0.91,,N/A,N/A,1.62,0.91,948.91,948.91,N/M,N/M,645569.437,5867711.15
05-49,Shallow,07-Jun-16,950.46,951.17,0.71,6,944.46,5.00 - 6.00,945.46 - 944.46,N/A,N/A,14:10,3.4,2.69,,N/A,N/A,3.4,2.69,947.77,947.77,6.61,N/M,645643.556,5867644.957
05-49,Shallow,18-Oct-16,950.46,951.17,0.71,6,944.46,5.00 - 6.00,945.46 - 944.46,N/A,N/A,15:45,2,1.29,,N/A,N/A,2,1.29,949.17,949.17,N/M,N/M,645643.556,5867644.957
05-49,Shallow,30-May-17,950.46,951.17,0.71,6,944.46,5.00 - 6.00,945.46 - 944.46,N/A,N/A,12:50,1.96,1.25,,N/A,N/A,1.96,1.25,949.21,949.21,N/M,N/M,645643.556,5867644.957
05-49,Shallow,17-Oct-17,950.46,951.17,0.71,6,944.46,5.00 - 6.00,945.46 - 944.46,N/A,N/A,14:32,2.25,1.54,,N/A,N/A,2.25,1.54,948.92,948.92,N/M,N/M,645643.556,5867644.957
05-49,Shallow,15-May-18,950.46,951.17,0.71,6,944.46,5.00 - 6.00,945.46 - 944.46,N/A,N/A,15:05,3.75,3.04,,N/A,N/A,3.75,3.04,947.42,947.42,6.64,N/M,645643.556,5867644.957
05-49,Shallow,10-Oct-18,950.46,951.17,0.71,6,944.46,5.00 - 6.00,945.46 - 944.46,N/A,N/A,13:50,3.16,2.45,,N/A,N/A,3.16,2.45,948.01,948.01,N/M,N/M,645643.556,5867644.957
05-50,Shallow,07-Jun-16,950.5,951.59,1.1,4.5,946,1.50 - 4.50,949.00 - 946.00,N/A,N/A,14:07,2.44,1.34,,N/A,N/A,2.44,1.34,949.15,949.15,5.29,N/M,645642.944,5867645.78
05-50,Shallow,18-Oct-16,950.5,951.59,1.1,4.5,946,1.50 - 4.50,949.00 - 946.00,N/A,N/A,15:30,2.03,0.93,,N/A,N/A,2.03,0.93,949.56,949.56,N/M,N/M,645642.944,5867645.78
05-50,Shallow,30-May-17,950.5,951.59,1.1,4.5,946,1.50 - 4.50,949.00 - 946.00,N/A,N/A,13:00,1.47,0.37,,N/A,N/A,1.47,0.37,950.12,950.12,N/M,N/M,645642.944,5867645.78
05-50,Shallow,17-Oct-17,950.5,951.59,1.1,4.5,946,1.50 - 4.50,949.00 - 946.00,N/A,N/A,14:35,2.02,0.92,,N/A,N/A,2.02,0.92,949.57,949.57,5.3,N/M,645642.944,5867645.78
05-50,Shallow,15-May-18,950.5,951.59,1.1,4.5,946,1.50 - 4.50,949.00 - 946.00,N/A,N/A,15:10,3.18,2.08,,N/A,N/A,3.18,2.08,948.41,948.41,N/M,N/M,645642.944,5867645.78
05-50,Shallow,10-Oct-18,950.5,951.59,1.1,4.5,946,1.50 - 4.50,949.00 - 946.00,N/A,N/A,13:55,2.17,1.07,,N/A,N/A,2.17,1.07,949.42,949.42,N/M,N/M,645642.944,5867645.78
05-51,Shallow,07-Jun-16,949.9,951.18,1.28,6,943.9,5.00 - 6.00,944.90 - 943.90,N/A,N/A,13:32,3.27,1.99,,N/A,N/A,3.27,1.99,947.91,947.91,5.64,N/M,645603.621,5867641.675
05-51,Shallow,18-Oct-16,949.9,951.18,1.28,6,943.9,5.00 - 6.00,944.90 - 943.90,N/A,N/A,14:10,2.47,1.19,,N/A,N/A,2.47,1.19,948.71,948.71,N/M,N/M,645603.621,5867641.675
05-51,Shallow,30-May-17,949.9,951.18,1.28,6,943.9,5.00 - 6.00,944.90 - 943.90,N/A,N/A,11:10,2.12,0.84,,N/A,N/A,2.12,0.84,949.06,949.06,N/M,N/M,645603.621,5867641.675
05-51,Shallow,17-Oct-17,949.9,951.18,1.28,6,943.9,5.00 - 6.00,944.90 - 943.90,N/A,N/A,14:10,2.39,1.11,,N/A,N/A,2.39,1.11,948.79,948.79,N/M,N/M,645603.621,5867641.675
05-51,Shallow,15-May-18,949.9,951.18,1.28,6,943.9,5.00 - 6.00,944.90 - 943.90,N/A,N/A,14:25,3.48,2.2,,N/A,N/A,3.48,2.2,947.7,947.7,5.65,N/M,645603.621,5867641.675
05-51,Shallow,10-Oct-18,949.9,951.18,1.28,6,943.9,5.00 - 6.00,944.90 - 943.90,N/A,N/A,13:10,2.77,1.49,,N/A,N/A,2.77,1.49,948.41,948.41,N/M,N/M,645603.621,5867641.675
05-51,Shallow,12-Oct-18,949.9,951.18,1.28,6,943.9,5.00 - 6.00,944.90 - 943.90,N/A,N/A,---,3.5,2.22,,N/A,N/A,3.5,2.22,947.68,947.68,N/M,N/M,645603.621,5867641.675
05-52,Shallow,07-Jun-16,949.9,951.18,1.28,4.4,945.5,1.40 - 4.40,948.50 - 945.50,N/A,N/A,13:35,2.25,0.97,,N/A,N/A,2.25,0.97,948.93,948.93,4.86,N/M,645602.803,5867642.593
05-52,Shallow,18-Oct-16,949.9,951.18,1.28,4.4,945.5,1.40 - 4.40,948.50 - 945.50,N/A,N/A,14:12,1.64,0.36,,N/A,N/A,1.64,0.36,949.54,949.54,N/M,N/M,645602.803,5867642.593
05-52,Shallow,30-May-17,949.9,951.18,1.28,4.4,945.5,1.40 - 4.40,948.50 - 945.50,N/A,N/A,11:15,1.58,0.3,,N/A,N/A,1.58,0.3,949.6,949.6,N/M,N/M,645602.803,5867642.593
05-52,Shallow,17-Oct-17,949.9,951.18,1.28,4.4,945.5,1.40 - 4.40,948.50 - 945.50,N/A,N/A,14:05,1.77,0.49,,N/A,N/A,1.77,0.49,949.41,949.41,4.85,N/M,645602.803,5867642.593
05-52,Shallow,15-May-18,949.9,951.18,1.28,4.4,945.5,1.40 - 4.40,948.50 - 945.50,N/A,N/A,14:20,2.7,1.42,,N/A,N/A,2.7,1.42,948.48,948.48,N/M,N/M,645602.803,5867642.593
05-52,Shallow,10-Oct-18,949.9,951.18,1.28,4.4,945.5,1.40 - 4.40,948.50 - 945.50,N/A,N/A,13:15,1.68,0.4,,N/A,N/A,1.68,0.4,949.5,949.5,4.86,N/M,645602.803,5867642.593
05-52,Shallow,12-Oct-18,949.9,951.18,1.28,4.4,945.5,1.40 - 4.40,948.50 - 945.50,N/A,N/A,---,1.94,0.66,,N/A,N/A,1.94,0.66,949.24,949.24,N/M,N/M,645602.803,5867642.593
05-53,Shallow,07-Jun-16,949.62,951.18,1.56,7.5,942.12,4.50 - 7.50,945.12 - 942.12,N/A,N/A,14:20,7.41,5.85,,N/A,N/A,7.41,5.85,943.77,943.77,8.37,N/M,645573.48,5867638.767
